word,dim1,dim2,dim3,dim4,dim5
82,-0.27103983700715434,0.2898939094124566,-0.37376933626677167,0.3599412415360009,-0.29334791185661685
1395,-0.2585797040347855,0.27432780227590814,-0.3552048938205826,0.3400621277181567,-0.27561587083479633
1625,-0.2930350969005261,0.31672905756983766,-0.40057932629344384,0.3923070950996335,-0.31423967252838225
1181,-0.26865661666689034,0.28725387088186144,-0.3700076720937595,0.35591429606281483,-0.29000702763761915
18,0.14729262054059428,0.28218594608667796,-0.2121894638633303,-0.32555312898829625,-0.21339744623527931
1095,0.15121830439346076,0.28986304582182154,-0.21689250171090865,-0.3337172278070398,-0.2197779470106135
20,0.25798440602909783,-0.18741766561782125,0.401964882252011,-0.13744759436790768,0.09965436028157433
1379,0.26643341047092073,-0.19252138511233235,0.41359406942457494,-0.14221857549428082,0.10304266985918689
23,0.38868479866417743,0.06984932722180491,-0.0073473629129168815,0.2198150743367113,0.4255274685368719
163,0.4267419716124296,0.07567874608418472,-0.008051183815848649,0.23999022295202077,0.47418384276092457
1116,0.4299041061717599,0.07708995319386404,-0.008581067799833609,0.24171401697206976,0.47815408804287657
24,-0.5101166962761052,0.11551862935256112,-0.26615118763844575,0.21149833679485391,-0.11098289144057338
1155,-0.6232051930912754,0.140573039068999,-0.32088711276587417,0.26115647066440684,-0.129798006657526
509,-0.5539746763686068,0.12338056379098228,-0.2887490652536768,0.2331222579543615,-0.12050972346117116
1935,-0.5486073512078586,0.1225939522516582,-0.28576964737325417,0.23025490542273583,-0.11904696439724387
25,-0.12500708721717335,0.19053336086071457,-0.04618446825246073,-0.2793195020412423,0.49710738124771986
1241,-0.14305002692179564,0.21372174085063878,-0.05123938631734174,-0.3244040765473491,0.5633092042845202
109,-0.1322502998781496,0.19959400413535885,-0.04807500538584957,-0.2968229324025571,0.523686721992075
30,0.5072629540511684,0.20205915330404203,-0.20439894863426494,-0.1368034363525205,-0.008542097840033638
248,0.5702827966248223,0.22788155904486138,-0.23569126510640412,-0.1520347813394658,-0.012062914691636136
1324,0.5620822860984257,0.2250079780475915,-0.23215514655491273,-0.14990676416072807,-0.012192693235591264
33,0.3273628216113814,-0.21811547986584023,0.22613155388486686,0.2095366928204642,0.11700102454082903
1899,0.3467552902499091,-0.23082434223802378,0.24038213438915101,0.22102518243304198,0.12316921589252773
37,0.19098504673958538,0.2367569459347825,-0.35696178170920456,0.30889342742386455,0.01067338978398433
726,0.2023289590075163,0.25161842968207954,-0.3786741823716123,0.327787655092673,0.009704606348815682
38,-0.21538167730041233,0.1566548003848217,0.14350621993501372,0.02558058590080224,-0.3343219622160683
1200,-0.2925247675904669,0.20115729222279188,0.17030170252057175,0.025250102431875164,-0.4363390642360837
1914,-0.2773956414442265,0.2172706362555324,0.2176637010932994,0.04556474025650648,-0.45426563588705593
575,-0.2924478729517962,0.20111008923702195,0.1703323939910486,0.025347840253241875,-0.4362428139936217
41,0.22959772677991178,-0.3515063046531244,0.13394809694161897,0.02731517686636315,0.36160523993798516
893,0.23943689815891744,-0.3667733893651,0.13975859377543226,0.028475484309500834,0.3768990535298228
45,-0.02188377995417743,0.22403777260075922,-0.003521408252842137,0.37995912607455684,0.36887423917169726
756,-0.0223223593587876,0.23063742689284158,-0.004434172615205155,0.39079908836307625,0.3796198818882358
46,-0.5136329945404585,0.1148384480810875,-0.26659030688893925,0.21580317409106692,-0.11018178522354453
47,0.1667226315772648,-0.05300710378741205,0.3661195518736346,0.1841064650231986,0.3548770904685312
357,0.17389841569922754,-0.05708525169718383,0.3848644060736429,0.1943849023189017,0.3731789719851264
48,-0.020779051756397438,0.22412482766842812,-0.004734054600356989,0.3795528997162263,0.3694483191135068
54,-0.12531445124972124,0.1907430898028815,-0.04618176155579894,-0.27965913607123544,0.49749433629782
57,0.15336831102705395,-0.19213442463919161,-0.20275883093057617,0.35225642118260025,0.329728726438285
1557,0.16171844926028273,-0.204139268962193,-0.21236115360449095,0.3697270612641587,0.3449299519854478
58,-0.09204809213910628,0.31729632592666857,-0.44378739889541663,0.13776038903937887,0.027482555271102587
65,0.25809672334887995,-0.1877783349650212,0.40253362137554216,-0.13744860113819318,0.09965420125115687
66,-0.21284170434953115,0.41419845152343804,0.06103931384182694,-0.22494925462120122,-0.18788669725167748
1659,-0.21917744807847014,0.42519545124671687,0.06253527932853019,-0.23116111711654933,-0.19304787835876472
68,-0.0214672277248434,0.2235784663837556,-0.004505002902252034,0.37874284917775547,0.3680240903205888
69,-0.09253627885920185,-0.1633894425016031,0.12623667137230757,-0.4693351232339936,0.18983708072211575
514,-0.09518471351792114,-0.16818705732632205,0.12985160990884223,-0.4824291674129674,0.19421502041946326
70,-0.11540758884393415,-0.26473203787740374,-0.24083650372923512,0.11200415846795071,-0.4005512108380337
1844,-0.12125078579972175,-0.280655381334397,-0.25563273332508424,0.12086517970902047,-0.42522018222846647
72,0.004543367828632092,-0.2812361924172852,0.12920349354186675,-0.4294011976452922,0.13752311183273702
544,0.005505183434351862,-0.36294945623194397,0.16281463625790998,-0.5512749572806912,0.17316073605019172
1218,0.005522056163553985,-0.3567477706879298,0.1609111886590924,-0.5421104275309071,0.17008302197155145
227,0.0054371686840980005,-0.35471143744941463,0.16012713247244245,-0.5391394990713914,0.1693985234563389
752,0.005325909390947811,-0.3543299942529698,0.15999314759754732,-0.5389059856161044,0.16957668144441077
1553,0.005426651194329066,-0.3538742525420434,0.15965267614206,-0.5378044738962113,0.1689661199599968
691,0.005501031286761321,-0.36590749863756517,0.1638783254024778,-0.5550741109949288,0.173226482283392
340,0.005447402626778086,-0.35728510866086405,0.16110548442585454,-0.5429563461320307,0.17044197615826379
1686,0.006419478368631612,-0.3947132864316859,0.18618402728426564,-0.6079397112434975,0.2013766388019046
1115,0.005455002828349496,-0.3536160014504515,0.1597137659575566,-0.5375571146145618,0.16905598601726032
1564,0.005464708974043715,-0.353809857270738,0.15990880781999686,-0.5379266175493774,0.16928070708141416
77,0.005106507796274464,-0.3219345942055672,0.14775115153341412,-0.4918486229914136,0.1584623373888936
80,-0.19747478379126612,0.5525480501394177,-0.05905833397788795,-0.09769480523803202,0.18011808025730663
1254,-0.22051532928024487,0.6238718839419842,-0.06308200299992038,-0.11117156394717746,0.2084065861965822
813,-0.24912173890224623,0.6858287381608764,-0.07874446618478638,-0.1199910216240853,0.21483264615006256
590,-0.22285270551504832,0.6312683723975843,-0.06345069200763294,-0.11257737702269022,0.21141820380383203
1075,-0.21878752055803943,0.6184048973814835,-0.06285866420359475,-0.11012138645242057,0.20615644223720442
1083,-0.2252145276052416,0.638598842742019,-0.06390883511661594,-0.11396142733891401,0.21440605255673095
84,-0.2553744647188489,-0.3584760235668907,-0.12075916351617595,-0.29721012684747755,0.31742945331770234
1536,-0.2694348410600837,-0.3773242074272695,-0.12868865069742988,-0.3139645194201206,0.33268502448929343
1097,-0.27003844178503544,-0.37775780033331785,-0.12870758801631133,-0.31464973022957604,0.33313264188600383
759,-0.2702127308207955,-0.37824647303341546,-0.12878976328338276,-0.31507113652918844,0.33318816521261446
235,-0.2712747599349473,-0.3786788698778107,-0.12918088924618995,-0.31575794876308255,0.3343121888833666
175,-0.2700990250195694,-0.3771675469200522,-0.12888829744134428,-0.31459687232081246,0.33315508615255407
754,-0.27163256054863805,-0.3793571652982914,-0.12956768118004303,-0.31609799700213836,0.3343431383038393
1911,-0.27064192372062484,-0.37722113855574957,-0.12917512645191676,-0.31518073552716935,0.333429687553402
89,-0.27020680639929434,-0.37740657573288267,-0.12874440688976577,-0.31489727643083115,0.33282821514225736
699,-0.2702274709291041,-0.3776686922553638,-0.12875059043001388,-0.31509515763207824,0.3330715277256036
85,-0.18904217191136263,-0.14293056869503615,0.06763917267668394,-0.022895713764625066,-0.4970784177467559
1869,-0.1947557607005076,-0.14701990357939893,0.07030304769566992,-0.022002532999115545,-0.5114939961571803
